,weaks,revenue
437,2021-05-23,3536288462
438,2021-05-30,3712442308
439,2021-06-06,3857769231
440,2021-06-13,3998692308
441,2021-06-20,4139615385
442,2021-06-27,4280538462
443,2021-07-04,4421461539
444,2021-07-11,4562384616
445,2021-07-18,4703307692
446,2021-07-25,4844230769
447,2021-08-01,4985153846
448,2021-08-08,5126076923
449,2021-08-15,5267000000
450,2021-08-22,5407923077
451,2021-08-29,5548846154
452,2021-09-05,5698576923
453,2021-09-12,5909961539
454,2021-09-19,6121346154
455,2021-09-26,6332730769
456,2021-10-03,6544115385
457,2021-10-10,6755500000
458,2021-10-17,6966884616
459,2021-10-24,7178269231
460,2021-10-31,7389653846
461,2021-11-07,7601038462
462,2021-11-14,7812423077
463,2021-11-21,8023807693
464,2021-11-28,8235192308
465,2021-12-05,8420153846
466,2021-12-12,8596307693
467,2021-12-19,8772461539
468,2021-12-26,8948615385
